分類,腳長(cm),日本號
消防靴,22,34
消防靴,23,35
消防靴,24,36
消防靴,24.5,37
消防靴,25,38
消防靴,25.5,39
消防靴,26,40
消防靴,27,41
消防靴,28,42
消防靴,29,43
