機關名稱,所屬大隊/分類,單位名稱,系統代碼
內政部消防署,直屬行政,綜合企劃組,NFA-HQ-001
內政部消防署,直屬行政,災害管理組,NFA-HQ-002
內政部消防署,直屬行政,火災預防組,NFA-HQ-003
內政部消防署,直屬行政,災害搶救組,NFA-HQ-004
內政部消防署,直屬行政,緊急救護組,NFA-HQ-005
內政部消防署,直屬行政,救災救護指揮中心,NFA-HQ-006
內政部消防署,直屬行政,秘書室,NFA-HQ-007
內政部消防署,特種搜救大隊,北部基地(新店),NFA-SR-001
內政部消防署,特種搜救大隊,中部基地(竹山),NFA-SR-002
內政部消防署,特種搜救大隊,南部基地(楠梓),NFA-SR-003
